InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country;dummy_date
536365;85123A;WHITE HANGING HEART T-LIGHT HOLDER;6;2010-12-01T08:26:00.000+05:30;2.55;17850;United Kingdom;2022-01-01
536365;71053;WHITE METAL LANTERN;6;2010-12-01T08:26:00.000+05:30;3.39;17850;United Kingdom;2022-11-02
536365;84406B;CREAM CUPID HEARTS COAT HANGER;8;2010-12-01T08:26:00.000+05:30;2.75;17850;United Kingdom;2022-07-31
536365;84029G;KNITTED UNION FLAG HOT WATER BOTTLE;6;2010-12-01T08:26:00.000+05:30;3.39;17850;United Kingdom;2022-01-04
536365;84029E;RED WOOLLY HOTTIE WHITE HEART.;6;2010-12-01T08:26:00.000+05:30;3.39;17850;United Kingdom;2022-01-05
536365;22752;SET 7 BABUSHKA NESTING BOXES;2;2010-12-01T08:26:00.000+05:30;7.65;17850;United Kingdom;2022-01-06
536365;21730;GLASS STAR FROSTED T-LIGHT HOLDER;6;2010-12-01T08:26:00.000+05:30;4.25;17850;United Kingdom;2022-01-07
536366;22633;HAND WARMER UNION JACK;6;2010-12-01T08:28:00.000+05:30;1.85;17850;United Kingdom;2022-01-08
536366;22632;HAND WARMER RED POLKA DOT;6;2010-12-01T08:28:00.000+05:30;1.85;17850;United Kingdom;2022-01-09
536367;84879;ASSORTED COLOUR BIRD ORNAMENT;32;2010-12-01T08:34:00.000+05:30;1.69;13047;United Kingdom;2022-01-10
536367;22745;POPPY'S PLAYHOUSE BEDROOM;6;2010-12-01T08:34:00.000+05:30;2.1;13047;United Kingdom;2022-01-11
536367;22748;POPPY'S PLAYHOUSE KITCHEN;6;2010-12-01T08:34:00.000+05:30;2.1;13047;United Kingdom;2022-01-12
536367;22749;FELTCRAFT PRINCESS CHARLOTTE DOLL;8;2010-12-01T08:34:00.000+05:30;3.75;13047;United Kingdom;2022-01-13
536367;22310;IVORY KNITTED MUG COSY;6;2010-12-01T08:34:00.000+05:30;1.65;13047;United Kingdom;2022-01-14
536367;84969;BOX OF 6 ASSORTED COLOUR TEASPOONS;6;2010-12-01T08:34:00.000+05:30;4.25;13047;United Kingdom;2022-01-15
536367;22623;BOX OF VINTAGE JIGSAW BLOCKS;3;2010-12-01T08:34:00.000+05:30;4.95;13047;United Kingdom;2022-01-16
536367;22622;BOX OF VINTAGE ALPHABET BLOCKS;2;2010-12-01T08:34:00.000+05:30;9.95;13047;United Kingdom;2022-01-17
536367;21754;HOME BUILDING BLOCK WORD;3;2010-12-01T08:34:00.000+05:30;5.95;13047;United Kingdom;2022-01-18
536367;21755;LOVE BUILDING BLOCK WORD;3;2010-12-01T08:34:00.000+05:30;5.95;13047;United Kingdom;2022-01-19
536367;21777;RECIPE BOX WITH METAL HEART;4;2010-12-01T08:34:00.000+05:30;7.95;13047;United Kingdom;2022-01-20
536367;48187;DOORMAT NEW ENGLAND;4;2010-12-01T08:34:00.000+05:30;7.95;13047;United Kingdom;2022-01-21
536368;22960;JAM MAKING SET WITH JARS;6;2010-12-01T08:34:00.000+05:30;4.25;13047;United Kingdom;2022-01-22
536368;22913;RED COAT RACK PARIS FASHION;3;2010-12-01T08:34:00.000+05:30;4.95;13047;United Kingdom;2022-01-23
536368;22912;YELLOW COAT RACK PARIS FASHION;3;2010-12-01T08:34:00.000+05:30;4.95;13047;United Kingdom;2022-01-24
536368;22914;BLUE COAT RACK PARIS FASHION;3;2010-12-01T08:34:00.000+05:30;4.95;13047;United Kingdom;2022-01-25
536369;21756;BATH BUILDING BLOCK WORD;3;2010-12-01T08:35:00.000+05:30;5.95;13047;United Kingdom;2022-01-26
536370;22728;ALARM CLOCK BAKELIKE PINK;24;2010-12-01T08:45:00.000+05:30;3.75;12583;France;2022-01-27
536370;22727;ALARM CLOCK BAKELIKE RED;24;2010-12-01T08:45:00.000+05:30;3.75;12583;France;2022-01-28
536370;22726;ALARM CLOCK BAKELIKE GREEN;12;2010-12-01T08:45:00.000+05:30;3.75;12583;France;2022-01-29
536370;21724;PANDA AND BUNNIES STICKER SHEET;12;2010-12-01T08:45:00.000+05:30;0.85;12583;France;2022-01-30
536370;21883;STARS GIFT TAPE;24;2010-12-01T08:45:00.000+05:30;0.65;12583;France;2022-01-31
536370;10002;INFLATABLE POLITICAL GLOBE;48;2010-12-01T08:45:00.000+05:30;0.85;12583;France;2022-02-01
536370;21791;VINTAGE HEADS AND TAILS CARD GAME;24;2010-12-01T08:45:00.000+05:30;1.25;12583;France;2022-02-02
536370;21035;SET/2 RED RETROSPOT TEA TOWELS;18;2010-12-01T08:45:00.000+05:30;2.95;12583;France;2022-02-03
536370;22326;ROUND SNACK BOXES SET OF4 WOODLAND;24;2010-12-01T08:45:00.000+05:30;2.95;12583;France;2022-02-04
536370;22629;SPACEBOY LUNCH BOX;24;2010-12-01T08:45:00.000+05:30;1.95;12583;France;2022-02-05
536370;22659;LUNCH BOX I LOVE LONDON;24;2010-12-01T08:45:00.000+05:30;1.95;12583;France;2022-02-06
536370;22631;CIRCUS PARADE LUNCH BOX;24;2010-12-01T08:45:00.000+05:30;1.95;12583;France;2022-02-07
536370;22661;CHARLOTTE BAG DOLLY GIRL DESIGN;20;2010-12-01T08:45:00.000+05:30;0.85;12583;France;2022-02-08
536370;21731;RED TOADSTOOL LED NIGHT LIGHT;24;2010-12-01T08:45:00.000+05:30;1.65;12583;France;2022-02-09
536370;22900;SET 2 TEA TOWELS I LOVE LONDON;24;2010-12-01T08:45:00.000+05:30;2.95;12583;France;2022-02-10
536370;21913;VINTAGE SEASIDE JIGSAW PUZZLES;12;2010-12-01T08:45:00.000+05:30;3.75;12583;France;2022-02-11
536370;22540;MINI JIGSAW CIRCUS PARADE;24;2010-12-01T08:45:00.000+05:30;0.42;12583;France;2022-02-12
536370;22544;MINI JIGSAW SPACEBOY;24;2010-12-01T08:45:00.000+05:30;0.42;12583;France;2022-02-13
536370;22492;MINI PAINT SET VINTAGE;36;2010-12-01T08:45:00.000+05:30;0.65;12583;France;2022-02-14
536370;POST;POSTAGE;3;2010-12-01T08:45:00.000+05:30;18.0;12583;France;2022-02-15
536371;22086;PAPER CHAIN KIT 50'S CHRISTMAS;80;2010-12-01T09:00:00.000+05:30;2.55;13748;United Kingdom;2022-02-16
536372;22632;HAND WARMER RED POLKA DOT;6;2010-12-01T09:01:00.000+05:30;1.85;17850;United Kingdom;2022-02-17
536372;22633;HAND WARMER UNION JACK;6;2010-12-01T09:01:00.000+05:30;1.85;17850;United Kingdom;2022-02-18
536373;85123A;WHITE HANGING HEART T-LIGHT HOLDER;6;2010-12-01T09:02:00.000+05:30;2.55;17850;United Kingdom;2022-02-19
536373;71053;WHITE METAL LANTERN;6;2010-12-01T09:02:00.000+05:30;3.39;17850;United Kingdom;2022-02-20
536373;84406B;CREAM CUPID HEARTS COAT HANGER;8;2010-12-01T09:02:00.000+05:30;2.75;17850;United Kingdom;2022-02-21
536373;20679;EDWARDIAN PARASOL RED;6;2010-12-01T09:02:00.000+05:30;4.95;17850;United Kingdom;2022-02-22
536373;37370;RETRO COFFEE MUGS ASSORTED;6;2010-12-01T09:02:00.000+05:30;1.06;17850;United Kingdom;2022-02-23
536373;21871;SAVE THE PLANET MUG;6;2010-12-01T09:02:00.000+05:30;1.06;17850;United Kingdom;2022-02-24
536373;21071;VINTAGE BILLBOARD DRINK ME MUG;6;2010-12-01T09:02:00.000+05:30;1.06;17850;United Kingdom;2022-02-25
536373;21068;VINTAGE BILLBOARD LOVE/HATE MUG;6;2010-12-01T09:02:00.000+05:30;1.06;17850;United Kingdom;2022-02-26
536373;82483;WOOD 2 DRAWER CABINET WHITE FINISH;2;2010-12-01T09:02:00.000+05:30;4.95;17850;United Kingdom;2022-02-27
536373;82486;WOOD S/3 CABINET ANT WHITE FINISH;4;2010-12-01T09:02:00.000+05:30;6.95;17850;United Kingdom;2022-02-28
536373;82482;WOODEN PICTURE FRAME WHITE FINISH;6;2010-12-01T09:02:00.000+05:30;2.1;17850;United Kingdom;2022-03-01
536373;82494L;WOODEN FRAME ANTIQUE WHITE;6;2010-12-01T09:02:00.000+05:30;2.55;17850;United Kingdom;2022-03-02
536373;84029G;KNITTED UNION FLAG HOT WATER BOTTLE;6;2010-12-01T09:02:00.000+05:30;3.39;17850;United Kingdom;2022-03-03
536373;84029E;RED WOOLLY HOTTIE WHITE HEART.;6;2010-12-01T09:02:00.000+05:30;3.39;17850;United Kingdom;2022-03-04
536373;22752;SET 7 BABUSHKA NESTING BOXES;2;2010-12-01T09:02:00.000+05:30;7.65;17850;United Kingdom;2022-03-05
536373;21730;GLASS STAR FROSTED T-LIGHT HOLDER;6;2010-12-01T09:02:00.000+05:30;4.25;17850;United Kingdom;2022-03-06
536374;21258;VICTORIAN SEWING BOX LARGE;32;2010-12-01T09:09:00.000+05:30;10.95;15100;United Kingdom;2022-03-07
536375;85123A;WHITE HANGING HEART T-LIGHT HOLDER;6;2010-12-01T09:32:00.000+05:30;2.55;17850;United Kingdom;2022-03-08
536375;71053;WHITE METAL LANTERN;6;2010-12-01T09:32:00.000+05:30;3.39;17850;United Kingdom;2022-03-09
536375;84406B;CREAM CUPID HEARTS COAT HANGER;8;2010-12-01T09:32:00.000+05:30;2.75;17850;United Kingdom;2022-03-10
536375;20679;EDWARDIAN PARASOL RED;6;2010-12-01T09:32:00.000+05:30;4.95;17850;United Kingdom;2022-03-11
